discoverymethod,disc_year,pl_rade,pl_masse,pl_orbper,pl_dens,pl_orbeccen
Transit,2016,,,9.6685529097,,
Transit,2014,1.11,,6.18666218,,0.0
Microlensing,2012,,35.0,,,
Transit,2009,,,3.118598,,
Transit,2016,3.11,,19.672266,,
Transit,2016,0.75,,3.4327371,,0.0
Transit,2020,1.95,,2.298,,
Transit,2016,6.15,,161.5280101,,0.0
Transit,2014,1.19,,3.282784,,0.0
Transit,2016,0.73,,31.80634,,0.0
Radial Velocity,1998,,,3.097,,0.03
Transit,2014,,,4.393157678,,
Transit,2020,1.56,,18.5010197,,0.0
Transit,2016,1.49,,3.290114076,,0.0
Transit,2016,1.111,,,,
Radial Velocity,1999,,,3.50927,,0.03
Transit,2014,1.93,,3.553829671,,0.0
Transit,2015,1.45,,10.05467,,
Transit,2016,3.46,,40.0587473,,0.0
Transit,2021,1.68023962,,4.86631012,,
Transit,2016,0.84,,1.877872,,0.0
Transit,2016,2.44,,17.6717714,,0.0
Radial Velocity,2009,,,2199.0,,0.25
Transit,2016,1.75,,19.96371318,,0.0
Transit,2014,2.67,,16.85837,,
Transit,2014,2.22,,247.3503,,0.0
Transit,2016,,,8.36086357,,
Transit,2021,1.21,,7.99147383,,0.0
Transit,2016,1.27,,,,
Transit,2016,2.33,,4.280958588,,0.0
Transit,2014,2.43,,6.76689811,,0.0
Transit,2016,2.41,,2.5904434,,0.0
Transit,2016,2.58,,8.508324398,,
Transit,2016,,,9.428872,,
Transit,2018,,,4.7423719,,
Transit,2012,2.089,,8.91902447,,
Transit,2016,0.82,,2.364369015,,
Transit,2016,3.082,,,,
Transit,2021,,,6.30922043,,
Transit,2020,,,56.7769831,,
Transit,2016,2.56,,7.964315352,,0.0
Transit,2014,,,27.0146112512,,
Transit,2021,3.3,,39.83101,,0.0
Transit,2021,1.99,,31.3351094,,0.0
Transit,2014,1.08,,7.42,,
Transit,2017,1.39,,38.09824,,0.0
Transit,2016,4.306,,6.07972888,,
Transit,2014,1.67,,6.84619236,,0.0
Transit,2016,,,10.10762919,,
Transit,2016,2.94,,5.15448142,,0.0
Transit,2014,2.602,,25.75260028,,
Transit,2016,,,2.7072805276,,
Radial Velocity,2016,,,1560.2,,0.16
Transit,2016,16.6,,3.535155,,
Transit,2014,2.3,,27.4345883,,0.0
Transit,2013,,,54.32002,,
Microlensing,2022,,11.5,,,
Transit,2014,,,14.40094968,,
Transit,2016,2.45,,34.8538276,,0.0
Transit,2013,2.58,,48.6476601,,0.0
Microlensing,2023,,4.83,,,
Transit,2011,,,5.0052704,,
Transit,2016,1.2,,2.6157554,,
Transit,2013,,,59.87793639,,
Transit,2016,2.84,,47.0568476,,0.0
Imaging,2008,,,83255.09,,
Transit,2016,,,160.88462604,,
Transit,2016,,,3.74031708,,
Transit,2021,2.08,,13.0267964,,0.0
Transit,2015,18.37,,17.855219698,,
Radial Velocity,2007,,47.0051,260.91,,0.08
Transit,2014,2.54,,8.594777,,0.0
Transit,2016,1.66,,2.215710358,,
Radial Velocity,2004,,,2.64389751,,
Transit,2020,1.1,,12.10001,,0.0
Transit,2016,2.453,,,,
Microlensing,2017,,1330.0,,,
Radial Velocity,2008,,,4.0845,,0.038
Transit,2016,11.2,,328.2399546,,
Transit,2016,2.91,,174.5085,,
Transit,2016,1.19,,56.6449279,,0.0
Transit,2014,2.02,,18.643516,,
Transit,2023,8.67575106,26.69758619,23.2856,0.225,0.17
Transit,2014,1.87,,8.13000457,,0.0
Transit,2023,8.95899963,,35.79949951,,
Transit,2015,,,3.7998534,,
Transit,2014,1.641,,1.611887177,,
Transit,2009,15.45,,3.548465405,,
Transit,2014,2.792,,,,
Transit,2016,,,2.949038155,,
Transit,2014,2.79,,12.56093,,
Transit,2016,,,6.49168251,,
Transit,2016,2.21,,24.1738244,,0.0
Transit,2012,10.670968,171.6282,3.06785952,0.776,0.02
Transit,2014,3.4,,41.74949827,,0.0
Transit,2004,13.22662,362.3262,1.689868,0.86,
Transit,2014,1.3,,8.10904807,,0.0
Transit,2016,,,14.16400071,,
Imaging,2010,,7700.0,,,
Transit,2014,,,5.92972237,,
Transit,2014,2.64,,12.75934834,,0.0
Transit,2021,2.11,,10.367437,,
Radial Velocity,2007,,,695.36,,0.098
Transit,2011,3.036,,10.74242766,,
Transit,2014,3.12,,87.0905994,,0.0
Transit,2016,6.256,,,,
Transit,2013,11.32109,381.396,331.601,,
Transit,2011,10.77,,4.942783399,,0.0
Transit,2014,,,8.1808612641,,
Transit,2016,1.09,,1.434741564,,0.0
Transit,2016,1.26,,11.55530021,,0.0
Transit,2016,,,2.0323166376,,
Transit,2016,2.438,,,,
Transit,2015,1.9,,64.001151,,0.0
Transit,2016,1.79,,1.9741954,,
Transit,2016,2.1,,13.71933369,,0.0
Transit,2016,2.424,,,,
Transit,2011,,,3.246731496,,
Transit,2021,3.6,,80.23247,,0.0
Transit,2014,3.328,,,,
Transit,2019,1.48,,0.70531,,
Transit,2011,12.733,2669.66,6.790123,7.1,0.035
Transit,2016,,,35.1808247969,,
Transit,2014,1.128,,11.8377261,,
Transit,2010,,,4.322513,,
Transit,2015,1.14,,,,
Transit,2017,2.81,,12.75759,,0.364
Transit,2012,,,2.21674331,,
Transit,2014,1.614,,,,
Transit,2014,2.517,,3.162691238,,
Transit,2006,13.775861,398.24099,2.47061437,0.895,0.0
Transit,2016,,,39.4420781,,
Transit,2016,2.28,,,,
Transit,2014,2.74,,20.05040157,,
Microlensing,2019,,890.0,,,
Eclipse Timing Variations,2011,,2447.2,1916.25,,0.05
Transit,2016,3.01,,30.8639476,,0.0
Radial Velocity,2022,,,836.4,,0.0
Transit,2014,,,16.9348104,,
Transit,2022,19.83989584,298.75870258,2.1225735,0.06,0.0
Transit,2016,2.06,,8.82713457,,0.0
Transit,2014,,,105.356468511,,
Transit,2021,2.08,,26.1956,,
Radial Velocity,2002,,,397.5,,0.17
Transit,2016,1.76,,29.6193421,,0.0
Transit,2016,,,4.7670445073,,
Transit,2016,5.26,,76.13354,,0.0
Transit,2014,,,8.18740532,,
Microlensing,2016,,21.0,,,
Transit,2013,,,44.34738006,,
Transit,2014,1.558,,,,
Radial Velocity,2021,,,18.56,,0.344
Transit,2014,4.297,,20.68422311,,
Transit,2014,1.88,,16.28247625,,0.0
Transit,2016,2.41175864,,14.090996,,
Transit,2015,2.72,,8.28176,,
Transit,2014,,,2.06190864,,
Transit,2011,,,1.33711716,,
Transit,2016,4.5,,10.136527,,
Transit,2016,1.44,,6.91134416,,0.0
Transit,2012,3.35,,27.9537959,,0.0
Transit,2016,2.6,,16.00494214,,0.0
Transit,2020,2.54,,14.83340944,,0.0
Transit,2016,2.848,,,,
Transit,2016,1.32,,2.832652134,,
Transit,2023,3.91400003,,1.735129952,,
Transit,2016,2.22,,13.02365861,,0.0
Transit,2014,3.655,,,,
Transit,2016,,,3.7885997177,,
Transit,2014,16.16,,3.10763873,,0.0
Transit,2014,,,19.2540405586,,
Transit,2021,1.02,,3.82222231,,0.0
Transit,2021,1.59,,4.562143,,0.0
Transit,2016,1.94,,33.2406882,,0.0
Transit,2021,1.83,,38.326218,,0.0
Transit,2016,1.24,,4.27103091,,0.0
Transit,2016,1.47,,5.082746517,,0.0
Transit,2016,,,3.601465336,,
Transit,2016,3.97,,1.970340203,,0.0
Transit,2018,12.8031,,3.65688,,
Transit,2014,2.57,,20.8342947,,
Transit,2017,10.67,,11.391013,,
Transit,2016,,,14.53260546,,
Transit,2014,3.27,,99.6409653,,
Transit,2014,,,130.17814386,,
Transit,2016,4.54,,120.0183551,,0.0
Transit,2009,14.616536,212.31044,3.2346996,0.4,
Transit,2016,0.8,,4.77468005,,
Transit,2014,2.28,,5.6879831,,
Transit,2016,2.02,,23.8990296,,0.0
Transit,2012,,1.11,9.521632,0.298,
Radial Velocity,2007,,,183.93,,0.04
Transit,2016,,,136.205112,,
Transit,2016,1.73,,108.593329,,
Transit,2016,4.59,,5.640676975,,0.0
Transit,2016,,,0.6640728155,,
Transit,2014,,,7.41084314,,
Transit,2016,4.367,,,,
Transit,2016,2.14,,13.73469807,,0.0
Transit,2013,1.58,,3.743175556,,
Transit,2016,2.744,,,,
Transit,2016,3.113,,6.03356196,,
Transit,2010,16.14,291.438,2.828042,0.411,0.07
Transit,2014,1.3,,25.7461,,0.0
Transit,2014,3.56,,31.1588249,,0.0
Transit,2014,2.17,,3.54653414,,0.0
Transit,2016,,,132.995699352,,
Transit,2016,1.73,,12.27065865,,0.0
Transit,2021,1.89,,105.0141157,,0.0
Transit,2016,,,9.42889884,,
Transit,2015,4.31,,11.90691,,
Radial Velocity,2001,,,71.484,,0.114
Transit,2014,,,41.00820122,,
Transit,2021,0.699,0.633,0.3219225,10.2,0.06
Transit,2016,2.18,,13.64618192,,
Radial Velocity,2005,,,17.11704,,0.165
Transit,2014,1.04,,6.17828255,,0.0
Transit,2021,1.28,,39.8313153,,0.0
Transit,2021,2.5,,4.783002698,,0.0
Transit,2013,10.377,,,,
Transit,2014,2.45,,11.76305946,,
Transit,2016,,,6.5319247,,
Transit,2014,1.76,,9.024391,,0.0
Radial Velocity,2019,,260.0,258.8,,0.283
Imaging,2010,,,20815.6,,
Transit,2021,,,14.1959621,,
Transit,2016,1.61,,6.26406846,,0.0
Transit,2016,1.89,,29.9633247,,0.0
Transit,2016,,,26.9644682703,,
Radial Velocity,2003,,,199.68,,0.047
Transit,2016,,,84.70362945,,
Radial Velocity,2006,,,147.747,,0.1566
Radial Velocity,2017,,,8.509,,0.36
Transit,2012,2.77,,27.402,,
Transit,2014,1.89,,34.763278,,
Transit,2015,1.12,,35.23319,,0.03
Transit,2016,0.879,,,,
Microlensing,2018,,240.0,,,
Transit,2016,4.629,,,,
Transit,2021,0.742,,7.28170196,,
Transit,2014,,,20.55280311,,
Transit,2016,,,105.9567331,,
Transit,2014,2.61,,15.660544,,
Transit,2018,8.1,,8.687708,,
Transit,2018,,,3.281,,
Transit,2014,1.33,,2.508554095,,0.0
Transit,2014,3.37,,22.824669,,
Transit,2008,,,,,
Transit,2018,2.51,,8.86638,,
Transit,2014,1.18,,5.18856001,,
Transit,2011,14.46,177.98,1.8555582,0.33,0.0
Transit,2016,2.05,,114.34219,,0.0
Transit,2016,1.77,,99.2530951,,0.0
Transit,2025,2.46806953,,46.96210526091,,
Transit,2016,,,11.25401871,,
Transit,2014,2.63,,15.771019,,0.0
Transit,2014,,,9.767,,
Transit,2012,2.23,,7.203850636,,0.0
Transit,2013,6.86,,210.6031105,,0.0
Transit,2016,5.52,,220.1303357,,
Transit,2014,3.0,,81.0632,,0.0
Transit,2014,1.28,,4.26374378,,0.0
Transit,2011,11.65736,177.9848,1.8555577,0.7,
Radial Velocity,2013,,,3771.0,,0.227
Transit,2010,13.80446613,,2.75673948743,,
Transit,2014,1.72,,4.24437621,,
Pulsar Timing,1992,,3.9,98.2114,,
Transit,2016,0.89,,3.57551429,,0.0
Transit,2016,6.04,,53.44945593,,0.0
Radial Velocity,2019,,,1756.2,,0.591
Radial Velocity,2023,,,50.089,,0.32
Transit,2016,2.86,,42.5215895,,
Transit,2014,1.498,,,,
Transit,2014,2.055,,,,
Radial Velocity,2013,,,39.026,,0.03
Transit,2021,2.7489262,,12.19139957,,
Transit,2014,,,14.3833988045,,
Transit,2016,4.5,,3.5840842,,0.0
Transit,2015,1.44,,10.05443,,
Transit,2008,,,1.091419108,,
Transit,2014,3.19,,57.24809,,
Transit,2016,2.26,,54.6495759,,0.0
Microlensing,2024,,35.59678158,,,
Transit,2014,,,15.677,,
Radial Velocity,2011,,,772.0,,0.12
Transit,2014,2.23,,15.95545002,,
Transit,2016,3.12,,1.260259094,,
Transit,2016,2.636,,23.8990296,,
Transit,2016,,,2.7580048478,,
Transit,2019,8.0,18.75187601,17.16073,,0.16
Transit,2016,,,138.946372773,,
Transit,2016,10.85,,4.082275068,,0.0
Transit,2014,,,9.9267225625,,
Transit,2015,,,52.50101454,,
Transit,2016,1.79,,15.9870174,,
Imaging,2004,,3496.0,,,
Transit,2023,4.23,,73.7579317,,0.0
Transit,2016,2.54,,14.006406,,0.0
Transit,2014,3.24,,4.362744362,,0.0
Transit,2011,0.84,,6.09855603,,0.0
Transit,2014,2.52,,83.4463335,,0.0
Transit,2020,4.07,,16.364988,,0.0
Transit,2012,2.34,,9.77058983,,
Transit,2014,3.55,,4.180049552,,0.0
Transit,2016,,,11.5151598863,,
Transit,2022,1.948,,20.201085,,
Transit,2014,,,5.37490067,,
Radial Velocity,2009,,,2835.0,,0.1172
Radial Velocity,2012,,3082.9355479,5384.0,,0.852
Transit,2011,25.8,,1.763587569,,0.0
Transit,2016,,,24.3344585901,,
Transit,2016,,,10.13206084,,
Transit,2021,,,4.22096735,,
Transit,2016,3.14,,22.0459018,,0.0
Transit,2016,1.1,,29.60913,,0.0
Transit,2014,,,10.84844155,,
Transit,2016,,,1.499144441,,
Transit,2013,2.853,,33.0063025,,
Transit,2014,2.53,,17.46085263,,0.0
Radial Velocity,2025,,,2.27476,,0.0
Radial Velocity,2004,,21.676006,,,0.1495
Transit,2021,2.0,,7.362723,,0.0
Transit,2010,11.209,177.9848,4.31768,,0.04
Transit,2014,,,47.9038809268,,
Transit,2022,1.86255873,,0.60473924068,,
Radial Velocity,2017,,,1.96876,,0.0
Transit,2014,1.46,,2.092282,,0.0
Transit,2016,1.22,,4.76703963,,0.0
Transit,2014,,2.63,4.9213639,1.29,
Transit,2014,,,6.66836145,,
Transit,2014,2.47,,35.1185226,,
Transit,2014,1.462,,,,
Transit,2016,17.900773,467.2101,2.7325321,0.479,0.0
Transit,2021,3.7,,5.93919041,,0.0
Transit,2016,10.3,,6.491684259,,0.0
Transit,2021,2.21110724,,56.57320023,,
Transit,2010,,,4.2345002,,
Transit,2016,2.77,,29.88485741,,0.0
Transit,2016,2.25,,7.13968,,0.0
Transit,2014,2.82,,25.76313,,0.0
Transit,2016,,,28.62574565,,
Transit,2020,,,40.715561,,
Transit,2017,11.95149929,,2.79858018417,,
Transit,2023,1.243,,3.1190633,,0.15
Transit,2016,,,134.2520474,,
Transit,2016,4.27,,374.878133,,0.0
Transit,2015,10.704595,153.82972,5.20851,0.69,0.047
Transit,2018,2.38,,13.609878,,
Transit,2017,1.241,1.3,3.648096,3.7,0.094
Transit,2016,1.25,,0.679336272,,0.0
Transit,2014,2.35,,7.54233911,,0.0
Transit,2016,,,0.92785928,,
Transit,2021,1.05,,6.08004821,,0.0
Transit,2014,2.11,,3.388012244,,0.0
Transit,2016,1.52,,3.222969273,,0.0
Transit,2016,2.8,,9.940672466,,0.0
Transit,2014,2.8,,28.5742649,,0.0
Radial Velocity,2012,,,7.1999,,0.15
Transit,2014,2.27,,8.96848108,,
Transit,2014,,,11.41949528,,
Transit,2014,,,7.62640248,,
Transit,2014,4.88,12.2,9.75598,0.249,0.077
Transit,2014,1.85,,13.071489,,0.0
Transit,2014,1.99,,42.473269,,
Transit,2014,2.69,,41.0081183,,0.0
Transit,2018,6.0,,19.492132,,
Transit,2021,2.94,,26.62946276,,0.0
Transit,2016,,,1.411230023,,
Transit,2016,,,13.0234729533,,
Transit,2014,2.34,,10.300682,,
Transit,2016,,,2.5495614,,
Transit,2021,,,197.5111484,,
Microlensing,2022,,9.2,,,
Transit,2014,2.14,,15.3825394,,0.0
Radial Velocity,2002,,,5360.0,,0.16
Transit,2016,1.22,,1.419604,,0.09
Transit,2014,2.5,,9.488102,,0.0
Transit,2014,1.623,,2.586638081,,
Transit,2014,2.2,,14.64613,,0.0
Transit,2016,2.11,,9.997442,,0.06
Transit,2016,2.25,,16.78175788,,0.0
Transit,2020,6.3,,207.6035,,0.0
Transit,2016,,,39.818832,,
Transit,2016,,,6.98472143,,
Radial Velocity,2003,,2637.9757781,882.0,,0.5
Transit,2009,16.04,671.864,3.54846,0.894,0.024
Transit,2019,14.688,,2.2552845,,
Transit,2014,2.64,,43.58642609,,0.0
Transit,2016,,,16.254686,,
Transit,2016,2.54,,2.752359689,,0.0
Radial Velocity,2005,,,2.218555,,0.027
Transit,2014,2.76,,36.9249531,,
Transit,2016,2.75,,14.08827448,,0.0
Transit,2014,,,2.586639524,,
Transit,2021,0.97698289,,5.363709927,,
Transit,2014,,,4.311780262,,
Transit,2015,1.808,6.77,0.7895933,6.29,
Transit,2014,1.29,,12.6109708,,0.0
Transit,2014,,,15.22894462,,
Transit,2016,,,6.1002925931,,
Transit Timing Variations,2014,3.01,29.9,7.171,,
Transit,2016,3.4,,4.243743,,0.0
Radial Velocity,2002,,,1135.0,,0.32
Transit,2014,2.77,,34.0607631,,
Astrometry,2022,,718.29219982,284.39,,0.35
Transit,2016,2.323,,,,
Transit,2021,,,56.5732318,,
Transit,2016,,,8.08801581,,
Transit,2014,2.32,,5.70071153,,
Transit,2009,13.652562,264.43456,3.1186068,0.572,
Transit,2013,1.54,,267.283301,,
Transit,2016,1.8,,3.1268651,,0.0
Transit,2014,1.314,,,,
Transit,2016,1.7,,10.652797,,0.0
Radial Velocity,2010,2.12,8.3,9.4897116,4.8,0.05
Transit,2016,12.134,,,,
Transit,2021,,,40.0311126,,
Transit,2015,0.51,,9.74048418,,0.0
Transit,2018,1.2547759,,0.58424,,
Transit,2020,11.09689089,212.94503269,29.090312,0.85,0.044
Transit,2023,4.05,,26.6565574,,0.0
Transit,2021,2.45,,6.45443377,,0.0
Transit,2018,,,4.193649,,
Transit,2016,2.41,,2.5904434,,0.0
Transit,2014,3.22,,34.0350559,,0.0
Radial Velocity,2006,,,986.0,,0.69
Transit,2016,1.3,,0.881841146,,
Transit,2023,1.91,,32.3763405,,
Transit,2014,,,3.797018259,,
Radial Velocity,2011,,,1299.0,,0.09
Transit,2016,5.5,,5.907413537,,
Transit,2014,,,52.81478933,,
Radial Velocity,2006,,,4.11434,,0.14
Transit,2016,,,6.2414813034,,
Radial Velocity,2018,,,213.72,,0.081
Transit,2010,,,31.9954389,,
Transit,2016,,,2.8326568999,,
Transit,2014,1.95,,12.51618164,,
Transit,2014,,3.61,7.064252,1.31,
Transit,2018,4.52,,31.578651216,,0.0
Transit,2017,17.37395,,1.3484975,,
Transit,2021,2.59,,7.28171395,,0.0
Transit,2014,12.53,,1.720861324,,0.0
Transit,2023,11.0137,,2.5926199,,
Transit,2014,2.74,,5.968741,,0.0
Transit,2021,0.72909663,,1.385800004,,
Transit,2016,,,20.50588921,,
Transit,2016,,,13.24503482,,
Transit,2014,1.8,,10.68167916,,0.0
Transit,2014,2.135,,9.76734365,,
Transit,2014,0.84,,10.32738017,,0.0
Transit,2014,2.657,,,,
Transit,2016,1.75,,14.878296,,
Transit,2014,2.2,,49.50081,,0.0
Transit,2011,1.88,,7.10694385,,
Transit,2016,1.72,,3.5827463,,0.0
Transit,2016,1.66,,86.8299,,0.0
Transit,2016,4.95,,8.981016833,,0.0
Transit,2016,4.02,,35.1810304,,0.0
Transit,2016,4.74,,7.4956613,,
Transit Timing Variations,2014,2.62,,8.70797904,,0.0
Transit,2014,2.137,,,,
Transit,2018,,,17.043,,
Transit,2014,2.28,,15.27438229,,0.0
Transit,2016,,,5.8359839,,
Transit,2016,3.12,,60.9292,,0.0
Transit,2018,6.12,27.0,19.49213,0.65,0.0
Transit,2016,1.077,,23.6225913,,
Transit,2014,2.221,,,,
Transit,2021,4.3,,148.272013,,0.0
Transit,2014,,,10.43547031,,
Transit,2014,2.98,,11.9320869,,0.0
Transit,2016,3.37,,84.6877524,,0.0
Transit,2014,5.24,8.0,14.78869,0.31,0.037
Transit,2013,0.32,10.0,13.3675,,
Transit,2016,3.39,,87.9724227,,0.0
Transit,2014,2.1,,20.74011,,0.0
Transit,2016,2.05,,11.17394617,,0.0
Transit,2014,1.6,,4.64535284,,
Microlensing,2022,,740.54018831,,,
Transit,2023,0.66,,3.03266154,,
Radial Velocity,2016,,,359.15,,0.06
Transit,2021,3.95000623,,6.149559975,,
Transit,2014,2.37,,4.601816855,,0.0
Transit,2014,,,4.38536428,,
Transit,2012,14.594118,556.2025,3.446459,0.99,0.082
Transit,2011,,,3.16156853,,
Transit,2015,0.92,,8.70337044,,0.0
Transit,2014,2.52,,43.84445,,0.0
Imaging,2019,22.86636,635.66,,,0.11
Transit,2012,1.79,,,,
Transit,2011,2.55,5.0,10.33974,1.65,0.0
Transit,2016,,,58.60136304,,
Transit,2014,2.73,,34.25951372,,
Transit,2021,2.27,,16.0573291,,0.0
Transit,2014,1.53,,23.2218189,,0.0
Transit,2021,1.1,,3.52468054,,0.0
Transit,2014,10.2196833,,4.76339524216,,
Transit,2018,,,4.3888499,,
Transit,2015,1.93,,207.247959,,0.0
Transit,2016,2.806,,,,
Transit,2016,2.5,,26.41073,,0.0
Transit,2014,1.57,,9.034199,,
Transit,2014,2.433,,,,
Transit,2016,1.59,,39.8189932,,0.0
Transit,2014,2.36,,39.6027551,,
Transit,2016,,,11.79161234,,
Transit,2016,0.91,,2.94654179,,0.0
Transit,2015,,,110.980793006,,
Transit,2014,1.33,,2.462344253,,0.0
Transit,2021,1.43,,4.603098,,0.0
Transit,2014,2.68,,16.73865956,,0.0
Transit,2014,1.86,,2.0241346,,0.0
Transit,2014,2.79,,9.8482024,,0.0
Transit,2021,0.982,1.4,3.694247,10.6,0.22
Transit,2007,,,3.191525,,
Transit,2022,13.57407563,457.67290608,3.8016122,1.01,0.0
Transit,2016,,,4.08897299,,
Transit,2014,2.58,,87.090195,,
Transit,2015,0.5,,3.60011712,,0.0
Transit,2016,0.7,,2.89223998,,0.0
Radial Velocity,2022,,,8.689,,0.35
Transit,2011,5.2,24.6,12.7204,0.9,
Transit,2021,,,5.90608902,,
Transit,2014,3.81,,54.1561078,,0.0
Transit,2016,1.93,,15.1408916,,0.0
Transit,2014,,,9.2897099,,
Transit,2016,,,16.35824749,,
Transit,2010,,,2.71866201,,0.018
Transit,2011,,,289.86387644,,
Transit,2022,0.757588,,3.9766833,,
Transit,2014,1.6,,14.49672,,0.0
Transit,2014,,,14.1285381094,,
Transit,2016,1.8,,4.354075,,0.0
Transit,2016,3.5,,5.2634076,,0.0
Transit,2021,1.86,,7.36272124,,0.0
Transit,2016,,,45.091056799,,
Transit,2016,2.23,,23.9210791,,0.0
Radial Velocity,2021,,,7.972,,0.14
Radial Velocity,2020,4.36639,,55.087,,
Transit,2016,,,2.052349884,,
Transit,2019,1.9,4.6,20.4415,,0.014
Transit,2016,2.369,,,,
Transit,2016,2.66,,42.9495649,,0.0
Transit,2016,1.66,,13.93291548,,0.0
Transit,2016,,,8.67888113,,
Transit,2023,1.96,,33.0256807,,0.0
Transit,2016,,,4.1819983665,,
Transit,2014,2.2,,13.82139306,,0.0
Transit,2016,2.62,,10.29672521,,0.0
Transit,2016,1.67,,8.45808312,,0.0
Radial Velocity,2008,,,225.79,,0.067
Transit,2014,1.49,,68.1613598,,
Transit,2014,0.49,,5.28695437,,
Radial Velocity,2021,,,2946.0,,0.132
Transit,2016,3.73,,158.6853308,,0.0
Transit,2014,4.22,,16.23946714,,0.0
Transit,2014,2.23,,7.055679,,
Transit,2022,2.02068,,2.8531016,,
Transit,2016,1.13,,2.543072855,,0.0
Transit,2014,2.621,,43.84444353,,
Transit,2014,3.615,,,,
Transit,2014,3.89,,99.6409653,,0.0
Transit,2014,,,20.1349166133,,
Transit,2014,1.25,,10.32736351,,0.0
Transit,2016,1.58,,186.404271,,
Transit,2014,,,11.09433661,,
Microlensing,2019,,111.0,,,
Transit,2016,2.9,,23.92113,,0.0
Transit,2016,2.43,,,,
Transit,2016,5.56,,7.748094374,,0.0
Transit,2014,2.87,,18.87021566,,0.0
Microlensing,2014,,2.32,,,
Transit,2014,3.75,,28.08194365,,0.0
Transit,2014,1.67,,6.84619299,,
Transit,2016,,,37.6468519,,
Transit,2016,,,4.2437395012,,
Transit,2015,2.32,,177.668663,,0.0
Transit,2014,2.47,,55.1866213,,0.0
Transit,2014,1.63,,2.06190864,,0.0
Transit,2012,2.56,,9.77045194,,
Transit,2016,1.32,,10.9295461,,0.0
Transit,2016,0.93,,1.574090323,,0.0
Transit,2014,1.75,,27.320871,,
Transit,2014,2.22,,62.7847,,0.0
Radial Velocity,2009,,,598.3,,0.3
Transit,2016,2.31,,3.595736,,0.0
Transit,2016,,,4.14789051,,
Transit,2014,1.512,,,,
Transit,2021,1.16,,0.911618,,
Transit,2016,3.212,,,,
Transit,2021,1.38,,48.8874292,,0.0
Transit,2014,1.89,,9.69315023,,0.0
Transit,2016,5.23,,124.4198398,,
Transit,2016,,,3.7221562,,
Transit,2016,1.07,,3.54553021,,0.0
Transit,2014,0.98,,11.41945387,,0.0
Microlensing,2020,,1760.0,,,
Transit,2016,,,2.70729361,,
Radial Velocity,2022,,,416.0,,0.0
Transit,2021,,,9.029,,
Transit,2016,0.82,,0.692979676,,0.0
Transit,2016,3.5,,105.6551369,,0.0
Transit,2014,0.95,,23.4432353,,0.0
Transit,2014,,,5.315954488,,
Transit,2016,2.85,,17.4211749,,0.0
Transit,2016,2.13,,11.72292176,,0.0
Transit,2014,,,25.6613816,,
Transit,2016,,,4.04605063,,
Microlensing,2018,,2200.0,,,
Transit,2014,,,7.381980206,,
Transit,2016,2.75,,49.6221509,,0.0
Transit,2016,1.46,,14.0329154,,0.0
Transit,2016,3.97,,16.32976218,,0.0
Transit,2014,1.33,,4.790936,,
Transit,2016,,,15.65563866,,
Transit,2011,4.15,25.2,41.028,,
Transit,2014,2.28,102.3,7.954,,
Transit,2021,2.30057,,4.1150576,,
Transit,2016,3.14,,6.029301321,,0.0
Transit,2016,1.423,,,,
Radial Velocity,2001,,,71.487,,0.1243
Transit,2014,3.26,,57.2486691,,0.0
Transit,2016,,,3.69298042,,
Transit,2016,8.03,,127.905412,,0.0
Radial Velocity,2016,,6451.9166621,1854.6,,0.1636
Transit,2016,,,4.15246118,,
Transit,2017,,,1.3484963,,
Transit,2016,14.58000642,,3.24324876797,,
Transit,2008,,,3.72247975,,
Transit,2013,10.64,,3.578780551,,
Radial Velocity,2017,,1420.69297929,1365.0,,0.453
Transit,2014,1.82,,15.17026179,,0.0
Radial Velocity,2022,,,4450.0,,0.0
Transit,2023,2.823,,5.058213203,,
Transit,2014,1.82,,1.541676628,,0.0
Transit,2016,,,8.360870704,,
Transit,2016,1.1,,4.487548,,0.0
Transit,2016,1.298,,15.0447198,,
Transit,2016,3.62,,20.50586978,,0.0
Transit,2009,11.298672,288.58964,3.1186068,1.14,0.018
Transit,2014,,,12.75934489,,
Transit,2011,11.99,689.98,5.005425,2.18,0.245
Transit,2016,,,31.1748311,,
Transit,2020,1.071,,10.51420148,,
Transit,2020,,,2.29840555,,
Microlensing,2022,,120.77479466,,,
Transit,2012,13.18,,4.15917,,
Transit,2022,1.322,,5.02629,,
Transit,2016,,,25.08282784,,
Transit,2014,2.19,,8.59479202,,
Transit,2014,,,18.36971824,,
Transit,2014,0.89,,5.217738,,
Transit,2016,1.8,,5.448325286,,0.0
Transit,2016,,,2.892216772,,
Transit,2012,,,27.40229859,,
Transit,2016,2.31,,18.283257,,
Microlensing,2021,,959.84178914,,,
Transit,2022,4.38698775,,18.65488288102,,
Transit,2009,17.646,,,,
Transit,2016,2.248,,,,
Transit,2016,,,21.8051575961,,
Transit,2014,1.42,,72.381301,,0.0
Transit,2010,17.228233,151.92274,3.405909,,0.0
Transit,2016,2.41,,25.3842686,,0.0
Transit,2016,9.801,,,,
Transit,2014,2.549,,,,
Transit,2020,,3.06,12.38605,14.3,
Transit,2019,,,1.8882393,,
Transit,2014,2.24,,47.427737,,
Transit,2013,15.479629,340.39593,3.547851,,0.0
Transit,2014,1.6,,2.732786,,0.0
Transit,2016,,,8.9810131815,,
Transit,2013,,,26.72320347,,
Transit,2016,2.48,,,,
Radial Velocity,2017,,,4.65627,,0.129
