discoverymethod,disc_year,pl_rade,pl_masse,pl_orbper,pl_dens,pl_orbeccen
Transit,2016,1.859,,,,
Transit,2014,1.519,,,,
Transit,2011,12.408,247.261,5.723186,0.71,0.095
Transit,2016,2.39,,3.595769645,,0.0
Transit,2014,12.161765,606.73747,9.289715,1.86,0.046
Transit,2016,4.48,,226.89047,,0.0
Transit,2016,1.17,,2.892217506,,0.0
Transit,2021,,,4.64495172,,
Transit,2006,,,3.941501,,
Radial Velocity,2011,,,74.062,,0.14
Transit,2016,1.8,,13.14497566,,0.0
Transit,2016,2.17,,17.1369543,,0.0
Transit,2022,2.0,,16.034656,,
Transit,2014,1.7,,3.072149196,,
Transit,2016,2.783,,,,
Transit,2022,2.78,,4.287455473,,0.0
Transit,2021,,,151.2,,0.11
Transit,2016,2.21,,4.49876092,,0.0
Transit,2016,2.492,,,,
Transit,2021,2.01,,34.4584231,,0.0
Transit,2014,2.79,17.4,4.58,,
Microlensing,2022,,1090.15143601,,,
Transit,2010,8.2,43.5,19.243,0.4,
Transit,2014,1.65,,9.024389,,
Transit,2012,1.747,,11.8984932,,
Transit,2016,0.84,,2.99793191,,0.0
Radial Velocity,2013,,,6.0881,,0.09
Radial Velocity,2009,,,696.29999,,0.0
Transit,2013,2.696,,,,
Transit,2016,,,13.28534769,,
Transit,2016,0.75,,7.699939,,0.0
Transit,2021,,,2.93535874,,
Transit,2009,,,3.21305751,,
Transit,2016,2.07,,76.9611,,0.0
Transit,2016,0.61,,0.693842855,,
Transit,2016,,,1.67344228,,
Transit,2014,1.526,,4.57950946,,
Transit,2014,,,2.92721119,,
Transit,2014,,,67.8318396275,,
Radial Velocity,2000,,,3.487,,0.05
Transit,2016,3.8,,6.010383339,,0.0
Transit,2014,,,6.56228956,,
Transit,2014,2.91,,76.7325168,,0.0
Transit,2014,,,25.5157102556,,
Transit,2014,9.4,,86.64764448,,0.0
Transit,2021,1.99,,31.3351397,,0.0
Transit,2018,13.90023688,,4.1876153815,,
Transit,2021,2.55303229,,5.254169941,,
Transit,2016,1.8,,0.571336,,
Transit,2016,2.93,,117.040498,,
Transit,2014,,,25.1936806932,,
Transit,2014,1.17,,10.40006,,0.0
Radial Velocity,2002,,,264.15,,0.252
Transit,2014,2.44,,4.166962173,,0.0
Transit,2016,1.27,,5.94220998,,0.0
Transit,2012,,529.31142902,1.360029395,,0.01353
Radial Velocity,2009,,,9.6184,,0.06
Transit,2014,12.45,,127.282184,,
Transit,2012,6.4,3.9,85.316,0.1,
Transit,2016,1.78,,1.269090374,,0.0
Transit,2022,2.5456702,24.0,18.80693,8.0,0.0
Transit,2014,,,19.25404023,,
Transit,2014,,,1.6118839738,,
